"","FID","Lat","Lon","MS_sst05_5m","MS_sst06_5m","MS_sst07_5m","MS_sss05_5m","MS_sss06_5m","MS_sss07_5m","BO_ph"
"96","SJQ",50.28,-64.33,1.3400000333786,5.23000001907349,11.5,29.8799991607666,28.9200000762939,28.5400009155273,7.76100015640259
"97","SK",53.79,-60.142083,0.550000011920929,1.22000002861023,7.5,32.0999984741211,31.0900001525879,29.5499992370605,8.21199989318848
"98","STW",45.14,-63.38,2.55999994277954,15.3999996185303,16.5300006866455,30.3299999237061,29.7999992370605,29.6100006103516,7.94000005722046
"99","TNR",48.67,-54,1.73000001907349,3.57999992370605,12.9300003051758,32.2799987792969,31.8500003814697,31.25,8.16300010681152
"100","TRE",49.652,-57.7558,2.75999999046326,7.21999979019165,13.6099996566772,31.7900009155273,31.4300003051758,31.0300006866455,7.95900011062622
"101","TRF",49.652,-57.7558,2.75999999046326,7.21999979019165,13.6099996566772,31.7900009155273,31.4300003051758,31.0300006866455,7.95900011062622
"102","TRI",49.42049,-67.30452,2.48000001907349,8.52000045776367,12.9700002670288,27.6200008392334,26.0599994659424,26.1100006103516,7.69600009918213
"103","TRNB",49.652,-57.7558,2.75999999046326,7.21999979019165,13.6099996566772,31.7900009155273,31.4300003051758,31.0300006866455,7.95900011062622
"104","TRWB",49.652,-57.7558,2.75999999046326,7.21999979019165,13.6099996566772,31.7900009155273,31.4300003051758,31.0300006866455,7.95900011062622
"105","TR",53.28,-60.28,0.5,3.02999997138977,11.7799997329712,31.7000007629395,30.7000007629395,29.5100002288818,8.21199989318848
"106","TYB",49.55,-57.1,0.620000004768372,3.05999994277954,12.460000038147,32.0699996948242,31.5300006866455,30.9899997711182,8.0620002746582
"107","UPS",47.57175,-66.5354,2.39000010490417,9.26000022888184,14.1999998092651,28.3799991607666,27.0300006866455,27.0100002288818,7.7960000038147
"108","WAB",51.190422,-56.764918,1.70000004768372,4.30999994277954,13.0699996948242,31.3999996185303,30.4500007629395,29.9899997711182,8.02099990844727
"109","WES",44.945486,-62.593455,3.99000000953674,9.38000011444092,13.3999996185303,30.7299995422363,30.3799991607666,30.1000003814697,7.95699977874756
"110","a_Mars",48.338548,-70.87442,2.27999997138977,10.4899997711182,13.5799999237061,29.5499992370605,28.5,28.4799995422363,7.73799991607666
"111","AVR",47.38909,-53.23111,1.67999994754791,4.05999994277954,12.0299997329712,31.8600006103516,31.6299991607666,31.2199993133545,8.17800045013428
"112","BCB",47.66647803,-59.30323496,2.33999991416931,6.48000001907349,12.3999996185303,31.1599998474121,30.9599990844727,30.6399993896484,7.94999980926514
"113","CBR",47.749252,-58.02668796,2.47000002861023,7.19000005722046,12.210000038147,31.2999992370605,31.1900005340576,30.8999996185303,7.99599981307983
"114","CCR",47.6959,-58.1544,2.5699999332428,7.1399998664856,12.2799997329712,31.2800006866455,31.1700000762939,30.8799991607666,7.99200010299683
"115","CLR",47.22192,-53.54614,2.05999994277954,2.66000008583069,12.3299999237061,31.9799995422363,31.8099994659424,31.5400009155273,8.16800022125244
"116","EBB",47.76696498,-58.24990299,3.21000003814697,6.82000017166138,12.5799999237061,31.2800006866455,31.1599998474121,30.8700008392334,7.98899984359741
"117","FRM",47.67437001,-58.47583903,3.07999992370605,6.92000007629395,12.5600004196167,31.2299995422363,31.1100006103516,30.8099994659424,7.98099994659424
"118","GBB1",47.09022,-55.7624,3.13000011444092,6.19999980926514,12.4300003051758,31.9899997711182,31.8999996185303,31.7299995422363,8.10099983215332
"119","GBK",47.75102302,-58.52647603,2.77999997138977,6.44999980926514,13.0500001907349,31.2399997711182,31.1100006103516,30.8099994659424,7.97800016403198
"120","GBR",47.63319802,-59.12984499,1.58000004291534,3.54999995231628,11.4799995422363,31.1700000762939,30.9899997711182,30.6700000762939,7.95300006866455
"121","GNB",47.62727503,-58.82892402,2.54999995231628,6.17999982833862,12.1800003051758,31.2000007629395,31.0499992370605,30.7399997711182,7.96799993515015
"122","GND",47.885686,-57.72384502,1.92999994754791,6.96999979019165,13.1599998474121,31.3199996948242,31.2199993133545,30.9400005340576,8.00300025939941
"123","GRR",47.77383302,-56.925067,1.13999998569489,5.46000003814697,13.8299999237061,31.6299991607666,31.5499992370605,31.3199996948242,8.04599952697754
"124","ING",46.618865,-60.44881,2.25,7.76999998092651,15.8100004196167,30.7099990844727,30.4300003051758,30,7.92199993133545
"125","LCO",47.83285797,-59.14535897,2.52999997138977,6.73000001907349,13.2700004577637,31.1900005340576,30.9899997711182,30.6700000762939,7.94700002670288
"126","LMS2020",46.87587,-55.77597,2.42000007629395,5.1399998664856,11.5200004577637,32,31.9099998474121,31.7399997711182,8.10599994659424
"127","LPR",47.86915898,-58.24255097,3.21000003814697,6.82000017166138,12.5799999237061,31.2800006866455,31.1599998474121,30.8700008392334,7.9850001335144
"128","LRBB",49.361461,-57.654538,2.09999990463257,3.40000009536743,15.1499996185303,31.8199996948242,31.4599990844727,31.0499992370605,7.95499992370605
"129","LREB",49.4029,-57.613973,2.09999990463257,3.40000009536743,15.1499996185303,31.8199996948242,31.4599990844727,31.0499992370605,7.95499992370605
"130","MOB",47.24867,-52.84282,2.16000008583069,4.59999990463257,11.539999961853,31.7700004577637,31.5799999237061,31.2000007629395,8.18299961090088
"131","NASP",46.829568,-60.613577,2.67000007629395,8.75,16.2800006866455,30.7199993133545,30.3799991607666,29.9799995422363,7.93699979782104
"132","NEB19_YOY",47.7289,-55.3595,1.97000002861023,6.30999994277954,13.6599998474121,32.1100006103516,31.9899997711182,31.7999992370605,8.10499954223633
"133","NHR",47.20934,-53.6197,1.85000002384186,3.78999996185303,12.9200000762939,31.9899997711182,31.8199996948242,31.5699996948242,8.16800022125244
"134","NRP",47.29101,-53.79636,2.15000009536743,7.73999977111816,11.539999961853,32.1100006103516,31.9300003051758,31.6599998474121,8.15999984741211
"135","RNR",46.94003,-52.96281,1.91999995708466,3.40000009536743,10.4200000762939,31.7800006866455,31.6200008392334,31.3500003814697,8.18200016021729
"136","SIM",47.67157,-55.47746,1.8400000333786,6.44000005722046,15.5100002288818,32.0999984741211,31.9799995422363,31.7900009155273,8.10000038146973
"137","SLR",47.20314,-53.37136,2.50999999046326,6.11999988555908,13.789999961853,31.9400005340576,31.7700004577637,31.5100002288818,8.16800022125244
"138","TEB",47.69808,-54.65425,3.21000003814697,2.89000010490417,11.8400001525879,32.2299995422363,32.0699996948242,31.8299999237061,8.12899971008301
"139","TRB",48.0054,-55.78633,0.509999990463257,6.40000009536743,9.31999969482422,32.0299987792969,31.9200000762939,31.7000007629395,8.08500003814697
"140","TREB",49.366808,-57.95939,1.45000004768372,9.90999984741211,13.0200004577637,31.7700004577637,31.4400005340576,31.0400009155273,7.95300006866455
"141","TRF",49.581539,-57.904551,1.73000001907349,5.98999977111816,13.1700000762939,31.7800006866455,31.4200000762939,31.0200004577637,7.95499992370605
"142","TRF",47.86817604,-57.27686897,2.45000004768372,5.98000001907349,12.5600004196167,31.5,31.3999996185303,31.1499996185303,8.02700042724609
"143","WBR",47.86817604,-57.27686897,2.45000004768372,5.98000001907349,12.5600004196167,31.5,31.3999996185303,31.1499996185303,8.02700042724609
"144","WBSB",49.754274,-57.874162,2.3199999332428,6.34000015258789,14.1899995803833,31.7199993133545,31.2900009155273,30.8899993896484,7.96199989318848
"145","WCB",47.51389,-53.6767,1.54999995231628,5.59000015258789,10.8299999237061,32.0499992370605,31.8400001525879,31.5,8.16300010681152
"146","GLD",44.554369,-64.325194,6.76999998092651,11.289999961853,15.2299995422363,30.4699993133545,30.0200004577637,30.0599994659424,7.96500015258789
"147","MAG",45.12081852,-66.8531706,6.82000017166138,9.1899995803833,12.7399997711182,30.7199993133545,30.3799991607666,30.4300003051758,7.97100019454956
"148","MED",44.14062849,-64.64049834,5.92000007629395,10.8000001907349,14.0200004577637,30.6399993896484,30.2700004577637,30.3799991607666,8.0019998550415
"149","PWF",45.54563817,-65.0201767,4.53000020980835,8.68000030517578,11.8800001144409,29.8700008392334,29.1399993896484,29.1700000762939,7.96500015258789
"150","SER",47.244,-66.992,2.33999991416931,9.51000022888184,14.75,28.3899993896484,27.0400009155273,27.0200004577637,7.7960000038147
"151","SJO",45.25,-66.0408,4.19999980926514,8.81999969482422,11.6400003433228,30.1700000762939,29.6599998474121,29.75,7.98600006103516
"152","SMA",45.1,-61.9619,3.08999991416931,8.26000022888184,12.789999961853,30.8099994659424,30.5200004577637,30.1299991607666,7.96000003814697
"153","TOB",46.769,-67.702,NA,NA,NA,NA,NA,NA,NA
"154","USR",45.61,-64.958,4.84000015258789,8.97000026702881,12.2799997329712,29.8500003814697,29.1000003814697,29.1200008392334,7.96700000762939
"155","BDN",47.74238,-55.4392,1.8400000333786,6.44000005722046,15.5100002288818,32.0999984741211,31.9799995422363,31.7900009155273,8.10000038146973
"156","CTW",NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","NEB",47.7289,-55.3595,1.97000002861023,6.30999994277954,13.6599998474121,32.1100006103516,31.9899997711182,31.7999992370605,8.10499954223633
"158","NEF",47.73834,-55.35818,1.97000002861023,6.30999994277954,13.6599998474121,32.1100006103516,31.9899997711182,31.7999992370605,8.10499954223633
"159","NRR",47.73834,-55.35818,1.97000002861023,6.30999994277954,13.6599998474121,32.1100006103516,31.9899997711182,31.7999992370605,8.10499954223633
"160","NWB",47.7473,-55.39618,1.97000002861023,6.30999994277954,13.6599998474121,32.1100006103516,31.9899997711182,31.7999992370605,8.10499954223633
"161","NWR",47.7473,-55.39618,1.97000002861023,6.30999994277954,13.6599998474121,32.1100006103516,31.9899997711182,31.7999992370605,8.10499954223633
"162","PNA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","SEB",47.92489,-55.73739,3.39000010490417,7.86999988555908,13.3199996948242,32.0400009155273,31.9200000762939,31.7099990844727,8.08500003814697
"164","SLW",NA,NA,NA,NA,NA,NA,NA,NA,NA
