,Long,Lat,Model,Bio1,Bio2,Bio3,Bio4,Bio5,Bio6,Bio7,Bio8,Bio9,Bio10,Bio11,Bio12,Bio13,Bio14,Bio15,Bio16,Bio17,Bio18,Bio19,LongitudePoints,LatitudePoints
84,-59.74731385,55.00864353,BioSimMap,-1.272381655,7.562549986,19.45987994,1053.064535,17.48328621,-21.37497458,38.8552301,2.173973962,-4.047758844,11.00524837,-14.78582252,921.7911347,146.2375728,26.55248481,46.24621512,326.9322197,143.9062468,262.3957819,215.8471309,-59.75,54.97
85,-59.91391769,53.42626593,BioSimMap,-0.002615441,9.443410955,21.78053893,1164.078728,20.96523611,-22.41823999,43.4644767,11.07445605,-6.538372115,13.53802576,-14.82118238,955.9904487,144.7360646,29.77993691,43.44412594,339.1153148,148.0966923,302.7554321,195.355521,-59.91,53.48
86,-60.08052152,53.84268109,BioSimMap,-0.928130371,9.16554886,21.41241711,1149.578843,19.77573409,-23.07161687,42.89244108,10.14953086,-6.781818297,12.47293903,-15.60148867,929.7337021,137.5323099,29.77134719,41.82837686,324.2487116,147.7127563,289.940516,195.0575578,-60.09,53.87
87,-60.16382344,53.75939806,BioSimMap,-0.862886134,9.28829606,21.54535526,1158.415368,19.99818397,-23.16445976,43.21515079,10.39863846,-6.912110807,12.64024814,-15.63251128,930.1017858,138.2107056,29.64178213,42.19106051,325.9682386,146.9692989,291.6072898,193.5161146,-60.14,53.79
88,-60.41372919,46.59705734,BioSimMap,5.100305185,8.736638802,24.77512829,916.78362,23.55683773,-11.76053415,35.33452546,0.363422659,11.58987592,16.42463686,-5.946637834,1572.899438,247.8976675,56.45666341,44.1745425,567.5461545,245.4530323,311.9707958,425.6680588,-60.45,46.62
89,-60.41372919,46.68034038,BioSimMap,6.343898517,7.186977433,23.08271148,825.3966079,22.39953376,-9.13890292,31.57864171,2.890060501,10.76355679,16.73482334,-3.632051418,1613.44255,256.6092049,56.26476269,45.36805879,587.3615626,250.0973801,329.7564509,417.8885014,-60.41,46.66
90,-60.41372919,53.17641683,BioSimMap,0.072636532,9.692237784,21.96346785,1186.604482,21.40070827,-22.80605318,44.25994529,11.20222127,-6.27340814,13.90381557,-15.07607113,951.7611545,147.9014543,28.31604392,45.46411375,343.4660324,143.411705,306.7290661,190.9830218,-60.42,53.25
91,-60.41372919,53.59283199,BioSimMap,-0.521662183,9.447994093,21.675588,1174.710961,20.57705912,-23.06307544,43.71818589,10.83962474,-6.688092915,13.13909586,-15.46109074,936.3436428,141.9037009,28.9714817,43.69660889,333.2476211,144.6541095,297.5158918,192.229736,-60.42,53.62
92,-60.58033302,46.84690644,BioSimMap,5.758941569,7.510480951,23.17986363,856.9769793,22.43866358,-10.17754849,32.57136191,2.102289117,10.74472918,16.4498732,-4.629565823,1552.73679,241.2621229,55.15773638,43.93247102,565.4349402,240.1249207,319.3802099,407.9490442,-60.61,46.83
93,-60.66363494,55.59162475,BioSimMap,-1.618949667,7.503510766,19.55734155,1042.720907,16.68857112,-21.73693238,38.42006441,0.184306126,-4.590023745,10.4572492,-15.07061219,880.5065337,140.655151,24.25801584,47.39118664,313.7820513,135.5045747,245.0846491,206.1219039,-60.67,55.57
94,-60.74693685,53.3429829,BioSimMap,-0.092636105,9.585251587,21.79625153,1185.10245,21.14097958,-22.91580535,44.10784121,10.81838997,-6.486561042,13.69625045,-15.22051179,945.5091836,146.5724677,28.31012854,45.18974821,341.244282,143.105396,303.8047735,190.6618745,-60.71,53.34
95,-60.83023877,46.09735915,BioSimMap,6.288062619,8.096749352,24.65344271,854.4146684,23.10319784,-10.00396673,33.13207529,3.762202064,10.79673429,16.8461133,-4.131248093,1416.126904,214.1826797,51.31564112,40.47058836,488.7413605,234.638296,313.8522994,354.9220276,-60.84,46.1
96,-60.83023877,53.84268109,BioSimMap,-0.248572099,9.07753813,21.24611213,1153.522127,20.33196007,-22.41190885,42.81723255,10.48127917,-6.160688202,13.13075405,-14.97994026,943.8448382,142.4909891,29.40137451,43.29588974,333.8782006,147.2407924,297.1325587,194.8129578,-60.83,53.87
97,-60.91354068,46.43049128,BioSimMap,5.459276537,8.469558553,24.50859554,903.2852158,23.2903233,-11.41391808,34.67015439,1.940634009,11.00542945,16.54572429,-5.532740227,1433.919484,217.8483634,53.08754474,40.96703394,507.7753631,230.5744837,305.8135179,373.4916248,-60.92,46.47
98,-60.91354068,46.68034038,BioSimMap,4.977704798,8.456811975,24.09119411,924.205032,23.12364062,-12.02465255,35.04998454,0.932219062,11.08899812,16.28652345,-6.23654337,1449.653299,220.3535979,53.74052434,41.48373418,521.1158671,228.8122253,300.4184135,386.8393331,-60.95,46.64
99,-60.9968426,53.92596412,BioSimMap,-0.479830638,9.080921627,21.23432187,1153.999741,20.09320896,-22.69992654,42.84302753,9.928186963,-6.365029935,12.92520072,-15.24044759,930.4027531,140.1002223,29.20321422,42.93405147,327.9805268,146.3363629,292.8618402,192.8721114,-61,53.93
