"","FID","IID","Rivername","Region","Latitude","Longitude","Dataset","LongitudePoints","LatitudePoints","location_name","Province","river_majority_cluster","Majority_admixed","MS_sst05_5m","MS_sst06_5m","MS_sst07_5m","MS_sss05_5m","MS_sss06_5m","MS_sss07_5m","BO_ph"
"18","ARO","ARO12_Sasa_Mad_4_C12","RivireAuxRochers","NorthAm",49.99688,-66.86287,"May 2021 5700 Recluster",-66.86,50,"RivireAuxRochers","QC","STL",FALSE,2.64000010490417,9.52000045776367,13.4899997711182,27.9400005340576,26.4500007629395,26.4300003051758,7.69199991226196
"19","ARO","ARO12_Sasa_Mad_6_E12","RivireAuxRochers","NorthAm",49.99688,-66.86287,"May 2021 5700 Recluster",-66.86,50,"RivireAuxRochers","QC","STL",FALSE,2.64000010490417,9.52000045776367,13.4899997711182,27.9400005340576,26.4500007629395,26.4300003051758,7.69199991226196
"20","ARO","ARO12_Sasa_Mad_7_F12","RivireAuxRochers","NorthAm",49.99688,-66.86287,"May 2021 5700 Recluster",-66.86,50,"RivireAuxRochers","QC","STL",FALSE,2.64000010490417,9.52000045776367,13.4899997711182,27.9400005340576,26.4500007629395,26.4300003051758,7.69199991226196
"21","ARO","ARO12_Sasa_Mad_8_G12","RivireAuxRochers","NorthAm",49.99688,-66.86287,"May 2021 5700 Recluster",-66.86,50,"RivireAuxRochers","QC","STL",FALSE,2.64000010490417,9.52000045776367,13.4899997711182,27.9400005340576,26.4500007629395,26.4300003051758,7.69199991226196
"22","ARO","ARO12_Sasa_Mad_9_H12","RivireAuxRochers","NorthAm",49.99688,-66.86287,"May 2021 5700 Recluster",-66.86,50,"RivireAuxRochers","QC","STL",FALSE,2.64000010490417,9.52000045776367,13.4899997711182,27.9400005340576,26.4500007629395,26.4300003051758,7.69199991226196
"23","ARO","ARO12_Sasa_Red_56_C03","RivireAuxRochers","NorthAm",49.99688,-66.86287,"May 2021 5700 Recluster",-66.86,50,"RivireAuxRochers","QC","STL",FALSE,2.64000010490417,9.52000045776367,13.4899997711182,27.9400005340576,26.4500007629395,26.4300003051758,7.69199991226196
"24","ARO","ARO12_Sasa_Red_57_D03","RivireAuxRochers","NorthAm",49.99688,-66.86287,"May 2021 5700 Recluster",-66.86,50,"RivireAuxRochers","QC","STL",FALSE,2.64000010490417,9.52000045776367,13.4899997711182,27.9400005340576,26.4500007629395,26.4300003051758,7.69199991226196
"25","ARO","ARO12_Sasa_Red_58_E03","RivireAuxRochers","NorthAm",49.99688,-66.86287,"May 2021 5700 Recluster",-66.86,50,"RivireAuxRochers","QC","STL",FALSE,2.64000010490417,9.52000045776367,13.4899997711182,27.9400005340576,26.4500007629395,26.4300003051758,7.69199991226196
"26","ARO","ARO12_Sasa_Red_59_F03","RivireAuxRochers","NorthAm",49.99688,-66.86287,"May 2021 5700 Recluster",-66.86,50,"RivireAuxRochers","QC","STL",FALSE,2.64000010490417,9.52000045776367,13.4899997711182,27.9400005340576,26.4500007629395,26.4300003051758,7.69199991226196
"27","ARO","ARO12_Sasa_Red_60_G03","RivireAuxRochers","NorthAm",49.99688,-66.86287,"May 2021 5700 Recluster",-66.86,50,"RivireAuxRochers","QC","STL",FALSE,2.64000010490417,9.52000045776367,13.4899997711182,27.9400005340576,26.4500007629395,26.4300003051758,7.69199991226196
