FID	IID	Rivername	Region	Lat	Lon	Dataset
RW	30_RW_F03	RedWineRiver	NorthAm	53.927	-60.996	May 2021 5700 Recluster
SR	30_SR_D06	SusanRiver	NorthAm	53.737917	-61.0425	May 2021 5700 Recluster
CB	3_CB_E09	CapeCaribou	NorthAm	53.62011	-60.4157	May 2021 5700 Recluster
CL	3_CL_C12	CarolineRiver	NorthAm	53.25389	-60.4157	May 2021 5700 Recluster
SR	3_SR_H03	SusanRiver	NorthAm	53.737917	-61.0425	May 2021 5700 Recluster
CB	4_CB_F09	CapeCaribou	NorthAm	53.62011	-60.4157	May 2021 5700 Recluster
PR	4_PR_G06	PetersRiver	NorthAm	53.337778	-60.705	May 2021 5700 Recluster
RW	4_RW_B01	RedWineRiver	NorthAm	53.927	-60.996	May 2021 5700 Recluster
SR	4_SR_A04	SusanRiver	NorthAm	53.737917	-61.0425	May 2021 5700 Recluster
PR	5_PR_H06	PetersRiver	NorthAm	53.337778	-60.705	May 2021 5700 Recluster
RW	5_RW_C01	RedWineRiver	NorthAm	53.927	-60.996	May 2021 5700 Recluster
CB	6_CB_G09	CapeCaribou	NorthAm	53.62011	-60.4157	May 2021 5700 Recluster
PR	6_PR_A07	PetersRiver	NorthAm	53.337778	-60.705	May 2021 5700 Recluster
RW	6_RW_D01	RedWineRiver	NorthAm	53.927	-60.996	May 2021 5700 Recluster
SR	6_SR_B04	SusanRiver	NorthAm	53.737917	-61.0425	May 2021 5700 Recluster
CB	7_CB_H09	CapeCaribou	NorthAm	53.62011	-60.4157	May 2021 5700 Recluster
RW	7_RW_E01	RedWineRiver	NorthAm	53.927	-60.996	May 2021 5700 Recluster
CB	8_CB_A10	CapeCaribou	NorthAm	53.62011	-60.4157	May 2021 5700 Recluster
CL	8_CL_E12	CarolineRiver	NorthAm	53.25389	-60.4157	May 2021 5700 Recluster
PR	8_PR_B07	PetersRiver	NorthAm	53.337778	-60.705	May 2021 5700 Recluster
RW	8_RW_F01	RedWineRiver	NorthAm	53.927	-60.996	May 2021 5700 Recluster
SR	8_SR_C04	SusanRiver	NorthAm	53.737917	-61.0425	May 2021 5700 Recluster
CL	9_CL_F12	CarolineRiver	NorthAm	53.25389	-60.4157	May 2021 5700 Recluster
PR	9_PR_C07	PetersRiver	NorthAm	53.337778	-60.705	May 2021 5700 Recluster
RW	9_RW_G01	RedWineRiver	NorthAm	53.927	-60.996	May 2021 5700 Recluster
SR	9_SR_D04	SusanRiver	NorthAm	53.737917	-61.0425	May 2021 5700 Recluster
ARO	ARO12_Sasa_Mad_10_A01	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Mad_11_B01	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Mad_14_E01	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Mad_15_F01	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Mad_16_G01	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Mad_17_H01	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Mad_18_A02	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Mad_19_B02	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Mad_20_C02	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Mad_21_D02	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Mad_22_E02	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Mad_23_F02	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Mad_24_G02	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Mad_25_H02	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Mad_26_A03	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Mad_2_A12	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Mad_3_B12	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Mad_4_C12	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Mad_6_E12	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
