FID	IID	Rivername	Region	Lat	Lon	Dataset
PBR	PBR1_1_14_H03	Piercey'sBrook	NorthAm	46.88462	-55.85669	May 2021 5700 Recluster
PBR	PBR1_1_15_A04	Piercey'sBrook	NorthAm	46.88462	-55.85669	May 2021 5700 Recluster
PBR	PBR1_1_16_B04	Piercey'sBrook	NorthAm	46.88462	-55.85669	May 2021 5700 Recluster
PBR	PBR1_1_17_C04	Piercey'sBrook	NorthAm	46.88462	-55.85669	May 2021 5700 Recluster
PBR	PBR1_1_18_D04	Piercey'sBrook	NorthAm	46.88462	-55.85669	May 2021 5700 Recluster
PBR	PBR1_1_19_E04	Piercey'sBrook	NorthAm	46.88462	-55.85669	May 2021 5700 Recluster
PBR	PBR1_1_1_E02	Piercey'sBrook	NorthAm	46.88462	-55.85669	May 2021 5700 Recluster
PBR	PBR1_1_20_F04	Piercey'sBrook	NorthAm	46.88462	-55.85669	May 2021 5700 Recluster
PBR	PBR1_1_21_G04	Piercey'sBrook	NorthAm	46.88462	-55.85669	May 2021 5700 Recluster
PBR	PBR1_1_22_H04	Piercey'sBrook	NorthAm	46.88462	-55.85669	May 2021 5700 Recluster
PBR	PBR1_1_23_A05	Piercey'sBrook	NorthAm	46.88462	-55.85669	May 2021 5700 Recluster
PBR	PBR1_1_24_B05	Piercey'sBrook	NorthAm	46.88462	-55.85669	May 2021 5700 Recluster
PBR	PBR1_1_25_C05	Piercey'sBrook	NorthAm	46.88462	-55.85669	May 2021 5700 Recluster
PBR	PBR1_1_26_D05	Piercey'sBrook	NorthAm	46.88462	-55.85669	May 2021 5700 Recluster
PBR	PBR1_1_27_E05	Piercey'sBrook	NorthAm	46.88462	-55.85669	May 2021 5700 Recluster
PBR	PBR1_1_28_F05	Piercey'sBrook	NorthAm	46.88462	-55.85669	May 2021 5700 Recluster
PBR	PBR1_1_29_G05	Piercey'sBrook	NorthAm	46.88462	-55.85669	May 2021 5700 Recluster
PBR	PBR1_1_2_F02	Piercey'sBrook	NorthAm	46.88462	-55.85669	May 2021 5700 Recluster
PBR	PBR1_1_30_H05	Piercey'sBrook	NorthAm	46.88462	-55.85669	May 2021 5700 Recluster
PBR	PBR1_1_31_A06	Piercey'sBrook	NorthAm	46.88462	-55.85669	May 2021 5700 Recluster
PBR	PBR1_1_32_B06	Piercey'sBrook	NorthAm	46.88462	-55.85669	May 2021 5700 Recluster
PBR	PBR1_1_5_G02	Piercey'sBrook	NorthAm	46.88462	-55.85669	May 2021 5700 Recluster
PBR	PBR1_1_6_H02	Piercey'sBrook	NorthAm	46.88462	-55.85669	May 2021 5700 Recluster
PBR	PBR1_1_7_A03	Piercey'sBrook	NorthAm	46.88462	-55.85669	May 2021 5700 Recluster
PBR	PBR1_1_8_B03	Piercey'sBrook	NorthAm	46.88462	-55.85669	May 2021 5700 Recluster
PBR	PBR1_1_9_C03	Piercey'sBrook	NorthAm	46.88462	-55.85669	May 2021 5700 Recluster
PHR	PHR1_1_10_B07	PipersHoleRiver	NorthAm	47.93259	-54.27274	May 2021 5700 Recluster
PHR	PHR1_1_11_C07	PipersHoleRiver	NorthAm	47.93259	-54.27274	May 2021 5700 Recluster
PHR	PHR1_1_12_D07	PipersHoleRiver	NorthAm	47.93259	-54.27274	May 2021 5700 Recluster
PHR	PHR1_1_13_E07	PipersHoleRiver	NorthAm	47.93259	-54.27274	May 2021 5700 Recluster
PHR	PHR1_1_14_F07	PipersHoleRiver	NorthAm	47.93259	-54.27274	May 2021 5700 Recluster
PHR	PHR1_1_15_G07	PipersHoleRiver	NorthAm	47.93259	-54.27274	May 2021 5700 Recluster
PHR	PHR1_1_16_H07	PipersHoleRiver	NorthAm	47.93259	-54.27274	May 2021 5700 Recluster
PHR	PHR1_1_17_A08	PipersHoleRiver	NorthAm	47.93259	-54.27274	May 2021 5700 Recluster
PHR	PHR1_1_18_B08	PipersHoleRiver	NorthAm	47.93259	-54.27274	May 2021 5700 Recluster
PHR	PHR1_1_19_C08	PipersHoleRiver	NorthAm	47.93259	-54.27274	May 2021 5700 Recluster
PHR	PHR1_1_1_C06	PipersHoleRiver	NorthAm	47.93259	-54.27274	May 2021 5700 Recluster
PHR	PHR1_1_20_D08	PipersHoleRiver	NorthAm	47.93259	-54.27274	May 2021 5700 Recluster
PHR	PHR1_1_21_E08	PipersHoleRiver	NorthAm	47.93259	-54.27274	May 2021 5700 Recluster
PHR	PHR1_1_22_F08	PipersHoleRiver	NorthAm	47.93259	-54.27274	May 2021 5700 Recluster
PHR	PHR1_1_23_G08	PipersHoleRiver	NorthAm	47.93259	-54.27274	May 2021 5700 Recluster
PHR	PHR1_1_24_H08	PipersHoleRiver	NorthAm	47.93259	-54.27274	May 2021 5700 Recluster
PHR	PHR1_1_25_A09	PipersHoleRiver	NorthAm	47.93259	-54.27274	May 2021 5700 Recluster
PHR	PHR1_1_27_C09	PipersHoleRiver	NorthAm	47.93259	-54.27274	May 2021 5700 Recluster
PHR	PHR1_1_28_D09	PipersHoleRiver	NorthAm	47.93259	-54.27274	May 2021 5700 Recluster
PHR	PHR1_1_29_E09	PipersHoleRiver	NorthAm	47.93259	-54.27274	May 2021 5700 Recluster
PHR	PHR1_1_2_D06	PipersHoleRiver	NorthAm	47.93259	-54.27274	May 2021 5700 Recluster
PHR	PHR1_1_30_F09	PipersHoleRiver	NorthAm	47.93259	-54.27274	May 2021 5700 Recluster
PHR	PHR1_1_31_G09	PipersHoleRiver	NorthAm	47.93259	-54.27274	May 2021 5700 Recluster
PHR	PHR1_1_32_H09	PipersHoleRiver	NorthAm	47.93259	-54.27274	May 2021 5700 Recluster
PHR	PHR1_1_4_E06	PipersHoleRiver	NorthAm	47.93259	-54.27274	May 2021 5700 Recluster
PHR	PHR1_1_5_F06	PipersHoleRiver	NorthAm	47.93259	-54.27274	May 2021 5700 Recluster
PHR	PHR1_1_6_G06	PipersHoleRiver	NorthAm	47.93259	-54.27274	May 2021 5700 Recluster
PHR	PHR1_1_8_H06	PipersHoleRiver	NorthAm	47.93259	-54.27274	May 2021 5700 Recluster
PHR	PHR1_1_9_A07	PipersHoleRiver	NorthAm	47.93259	-54.27274	May 2021 5700 Recluster
PIE	PIE1837116_F09	EastRiverPictou	NorthAm	45.54336667	-62.87651667	May 2021 5700 Recluster
PIE	PIE1837117_G09	EastRiverPictou	NorthAm	45.54336667	-62.87651667	May 2021 5700 Recluster
PIE	PIE1837118_H09	EastRiverPictou	NorthAm	45.54336667	-62.87651667	May 2021 5700 Recluster
PIE	PIE1837119_A10	EastRiverPictou	NorthAm	45.54336667	-62.87651667	May 2021 5700 Recluster
PIE	PIE1837120_B10	EastRiverPictou	NorthAm	45.54336667	-62.87651667	May 2021 5700 Recluster
PIE	PIE1837123_D10	EastRiverPictou	NorthAm	45.54336667	-62.87651667	May 2021 5700 Recluster
PIE	PIE1837124_E10	EastRiverPictou	NorthAm	45.54336667	-62.87651667	May 2021 5700 Recluster
PIE	PIE1837125_F10	EastRiverPictou	NorthAm	45.54336667	-62.87651667	May 2021 5700 Recluster
PIE	PIE1837126_G10	EastRiverPictou	NorthAm	45.54336667	-62.87651667	May 2021 5700 Recluster
PIE	PIE1837127_H10	EastRiverPictou	NorthAm	45.54336667	-62.87651667	May 2021 5700 Recluster
PIE	PIE1837128_A11	EastRiverPictou	NorthAm	45.54336667	-62.87651667	May 2021 5700 Recluster
PIE	PIE1837130_B11	EastRiverPictou	NorthAm	45.54336667	-62.87651667	May 2021 5700 Recluster
PIE	PIE1837133_D11	EastRiverPictou	NorthAm	45.54336667	-62.87651667	May 2021 5700 Recluster
PIE	PIE1837134_E11	EastRiverPictou	NorthAm	45.54336667	-62.87651667	May 2021 5700 Recluster
PIE	PIE1837136_F11	EastRiverPictou	NorthAm	45.54336667	-62.87651667	May 2021 5700 Recluster
PIE	PIE1837137_G11	EastRiverPictou	NorthAm	45.54336667	-62.87651667	May 2021 5700 Recluster
PIE	PIE1837138_H11	EastRiverPictou	NorthAm	45.54336667	-62.87651667	May 2021 5700 Recluster
PIE	PIE1837140_B12	EastRiverPictou	NorthAm	45.54336667	-62.87651667	May 2021 5700 Recluster
PIE	PIE1837141_C12	EastRiverPictou	NorthAm	45.54336667	-62.87651667	May 2021 5700 Recluster
PIE	PIE1837142_D12	EastRiverPictou	NorthAm	45.54336667	-62.87651667	May 2021 5700 Recluster
PIE	PIE1837143_E12	EastRiverPictou	NorthAm	45.54336667	-62.87651667	May 2021 5700 Recluster
PIE	PIE1837144_F12	EastRiverPictou	NorthAm	45.54336667	-62.87651667	May 2021 5700 Recluster
PIE	PIE1837145_G12	EastRiverPictou	NorthAm	45.54336667	-62.87651667	May 2021 5700 Recluster
CBC	PLB17CBC137986_A07	ComeByChanceRiver	NorthAm	47.96587	-53.9592	May 2021 5700 Recluster
CBC	PLB17CBC137988_C07	ComeByChanceRiver	NorthAm	47.96587	-53.9592	May 2021 5700 Recluster
CBC	PLB17CBC137989_D07	ComeByChanceRiver	NorthAm	47.96587	-53.9592	May 2021 5700 Recluster
CBC	PLB17CBC137991_F07	ComeByChanceRiver	NorthAm	47.96587	-53.9592	May 2021 5700 Recluster
CBC	PLB17CBC137992_G07	ComeByChanceRiver	NorthAm	47.96587	-53.9592	May 2021 5700 Recluster
CBC	PLB17CBC137993_H07	ComeByChanceRiver	NorthAm	47.96587	-53.9592	May 2021 5700 Recluster
CBC	PLB17CBC137994_A08	ComeByChanceRiver	NorthAm	47.96587	-53.9592	May 2021 5700 Recluster
CBC	PLB17CBC137996_C08	ComeByChanceRiver	NorthAm	47.96587	-53.9592	May 2021 5700 Recluster
CBC	PLB17CBC137997_D08	ComeByChanceRiver	NorthAm	47.96587	-53.9592	May 2021 5700 Recluster
BDL	PLB18BDL133666_G04	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	PLB18BDL133667_H04	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	PLB18BDL133668_A05	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	PLB18BDL133669_B05	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	PLB18BDL133670_C05	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	PLB18BDL133671_D05	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	PLB18BDL133685_E05	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	PLB18BDL133686_F05	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	PLB18BDL133687_G05	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	PLB18BDL133690_H05	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	PLB18BDL133691_A06	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	PLB18BDL133694_B06	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	PLB18BDL133695_C06	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	PLB18BDL133698_D06	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	PLB18BDL133699_E06	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	PLB18BDL133700_F06	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	PLB18BDL133701_G06	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	PLB18BDL133702_H06	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	PLB18BDL133703_A07	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	PLB18BDL133704_B07	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	PLB18BDL133705_C07	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	PLB18BDL133706_D07	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	PLB18BDL133707_E07	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	PLB18BDL133708_F07	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	PLB18BDL133709_G07	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	PLB18BDL133710_H07	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	PLB18BDL133711_A08	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	PLB18BDL133712_B08	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	PLB18BDL133713_C08	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	PLB18BDL133714_D08	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	PLB18BDL133715_E08	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BDL	PLB18BDL133717_F08	BaydeL'EauRiver	NorthAm	47.50754	-54.72749	May 2021 5700 Recluster
BLA	PLB18BLA133718_G08	BlackRiver	NorthAm	47.88528	-54.16552	May 2021 5700 Recluster
BLA	PLB18BLA133719_H08	BlackRiver	NorthAm	47.88528	-54.16552	May 2021 5700 Recluster
BLA	PLB18BLA133720_A09	BlackRiver	NorthAm	47.88528	-54.16552	May 2021 5700 Recluster
BLA	PLB18BLA133721_B09	BlackRiver	NorthAm	47.88528	-54.16552	May 2021 5700 Recluster
BLA	PLB18BLA133722_C09	BlackRiver	NorthAm	47.88528	-54.16552	May 2021 5700 Recluster
BLA	PLB18BLA133723_D09	BlackRiver	NorthAm	47.88528	-54.16552	May 2021 5700 Recluster
BLA	PLB18BLA133724_E09	BlackRiver	NorthAm	47.88528	-54.16552	May 2021 5700 Recluster
BLA	PLB18BLA133725_F09	BlackRiver	NorthAm	47.88528	-54.16552	May 2021 5700 Recluster
BLA	PLB18BLA133728_H09	BlackRiver	NorthAm	47.88528	-54.16552	May 2021 5700 Recluster
BLA	PLB18BLA133729_A10	BlackRiver	NorthAm	47.88528	-54.16552	May 2021 5700 Recluster
BLA	PLB18BLA133731_C10	BlackRiver	NorthAm	47.88528	-54.16552	May 2021 5700 Recluster
BLA	PLB18BLA133733_D10	BlackRiver	NorthAm	47.88528	-54.16552	May 2021 5700 Recluster
BLA	PLB18BLA133740_E10	BlackRiver	NorthAm	47.88528	-54.16552	May 2021 5700 Recluster
BLA	PLB18BLA133741_F10	BlackRiver	NorthAm	47.88528	-54.16552	May 2021 5700 Recluster
BLA	PLB18BLA133742_G10	BlackRiver	NorthAm	47.88528	-54.16552	May 2021 5700 Recluster
BLA	PLB18BLA133748_H10	BlackRiver	NorthAm	47.88528	-54.16552	May 2021 5700 Recluster
BLA	PLB18BLA133749_A11	BlackRiver	NorthAm	47.88528	-54.16552	May 2021 5700 Recluster
BLA	PLB18BLA133750_B11	BlackRiver	NorthAm	47.88528	-54.16552	May 2021 5700 Recluster
BLA	PLB18BLA133752_C11	BlackRiver	NorthAm	47.88528	-54.16552	May 2021 5700 Recluster
BLA	PLB18BLA133754_D11	BlackRiver	NorthAm	47.88528	-54.16552	May 2021 5700 Recluster
BLA	PLB18BLA133756_E11	BlackRiver	NorthAm	47.88528	-54.16552	May 2021 5700 Recluster
BLA	PLB18BLA133757_F11	BlackRiver	NorthAm	47.88528	-54.16552	May 2021 5700 Recluster
BLA	PLB18BLA133758_G11	BlackRiver	NorthAm	47.88528	-54.16552	May 2021 5700 Recluster
BLA	PLB18BLA133759_H11	BlackRiver	NorthAm	47.88528	-54.16552	May 2021 5700 Recluster
BLA	PLB18BLA133762_A12	BlackRiver	NorthAm	47.88528	-54.16552	May 2021 5700 Recluster
BLA	PLB18BLA133763_B12	BlackRiver	NorthAm	47.88528	-54.16552	May 2021 5700 Recluster
BLA	PLB18BLA133764_C12	BlackRiver	NorthAm	47.88528	-54.16552	May 2021 5700 Recluster
BLA	PLB18BLA133766_D12	BlackRiver	NorthAm	47.88528	-54.16552	May 2021 5700 Recluster
BLA	PLB18BLA139646_B12	BlackRiver	NorthAm	47.88528	-54.16552	May 2021 5700 Recluster
BLA	PLB18BRA234545_H07	BranchRiver	NorthAm	46.88712	-53.96672	May 2021 5700 Recluster
BRA	PLB18BRA234546_A08	BranchRiver	NorthAm	46.88712	-53.96672	May 2021 5700 Recluster
BRA	PLB18BRA234547_B08	BranchRiver	NorthAm	46.88712	-53.96672	May 2021 5700 Recluster
BRA	PLB18BRA234548_C08	BranchRiver	NorthAm	46.88712	-53.96672	May 2021 5700 Recluster
BRA	PLB18BRA234549_D08	BranchRiver	NorthAm	46.88712	-53.96672	May 2021 5700 Recluster
BRA	PLB18BRA234550_E08	BranchRiver	NorthAm	46.88712	-53.96672	May 2021 5700 Recluster
BRA	PLB18BRA234552_F08	BranchRiver	NorthAm	46.88712	-53.96672	May 2021 5700 Recluster
BRA	PLB18BRA234553_G08	BranchRiver	NorthAm	46.88712	-53.96672	May 2021 5700 Recluster
BRA	PLB18BRA234554_H08	BranchRiver	NorthAm	46.88712	-53.96672	May 2021 5700 Recluster
BRA	PLB18BRA234555_A09	BranchRiver	NorthAm	46.88712	-53.96672	May 2021 5700 Recluster
BRA	PLB18BRA234556_B09	BranchRiver	NorthAm	46.88712	-53.96672	May 2021 5700 Recluster
BRA	PLB18BRA234557_C09	BranchRiver	NorthAm	46.88712	-53.96672	May 2021 5700 Recluster
BRA	PLB18BRA234558_D09	BranchRiver	NorthAm	46.88712	-53.96672	May 2021 5700 Recluster
BRA	PLB18BRA234559_E09	BranchRiver	NorthAm	46.88712	-53.96672	May 2021 5700 Recluster
BRA	PLB18BRA234560_F09	BranchRiver	NorthAm	46.88712	-53.96672	May 2021 5700 Recluster
BRA	PLB18BRA234561_G09	BranchRiver	NorthAm	46.88712	-53.96672	May 2021 5700 Recluster
BRA	PLB18BRA234562_H09	BranchRiver	NorthAm	46.88712	-53.96672	May 2021 5700 Recluster
BRA	PLB18BRA234564_A10	BranchRiver	NorthAm	46.88712	-53.96672	May 2021 5700 Recluster
BRA	PLB18BRA234565_B10	BranchRiver	NorthAm	46.88712	-53.96672	May 2021 5700 Recluster
BRA	PLB18BRA234566_C10	BranchRiver	NorthAm	46.88712	-53.96672	May 2021 5700 Recluster
BRA	PLB18BRA234567_D10	BranchRiver	NorthAm	46.88712	-53.96672	May 2021 5700 Recluster
BRA	PLB18BRA234568_E10	BranchRiver	NorthAm	46.88712	-53.96672	May 2021 5700 Recluster
BRA	PLB18BRA234569_F10	BranchRiver	NorthAm	46.88712	-53.96672	May 2021 5700 Recluster
BRA	PLB18BRA234570_G10	BranchRiver	NorthAm	46.88712	-53.96672	May 2021 5700 Recluster
BRA	PLB18BRA234571_H10	BranchRiver	NorthAm	46.88712	-53.96672	May 2021 5700 Recluster
BRA	PLB18BRA234574_A11	BranchRiver	NorthAm	46.88712	-53.96672	May 2021 5700 Recluster
BRA	PLB18BRA234575_B11	BranchRiver	NorthAm	46.88712	-53.96672	May 2021 5700 Recluster
BRA	PLB18BRA234576_C11	BranchRiver	NorthAm	46.88712	-53.96672	May 2021 5700 Recluster
BRA	PLB18BRA234577_D11	BranchRiver	NorthAm	46.88712	-53.96672	May 2021 5700 Recluster
BRA	PLB18BRA234578_E11	BranchRiver	NorthAm	46.88712	-53.96672	May 2021 5700 Recluster
BRA	PLB18BRA234579_F11	BranchRiver	NorthAm	46.88712	-53.96672	May 2021 5700 Recluster
BRA	PLB18BRA234580_G11	BranchRiver	NorthAm	46.88712	-53.96672	May 2021 5700 Recluster
BSA	PLB18BSA134119_G07	BigSalmonierBrook	NorthAm	47.05674	-55.22287	May 2021 5700 Recluster
BSA	PLB18BSA134121_H07	BigSalmonierBrook	NorthAm	47.05674	-55.22287	May 2021 5700 Recluster
BSA	PLB18BSA134123_A08	BigSalmonierBrook	NorthAm	47.05674	-55.22287	May 2021 5700 Recluster
BSA	PLB18BSA134124_B08	BigSalmonierBrook	NorthAm	47.05674	-55.22287	May 2021 5700 Recluster
BSA	PLB18BSA134127_C08	BigSalmonierBrook	NorthAm	47.05674	-55.22287	May 2021 5700 Recluster
BSA	PLB18BSA134135_G08	BigSalmonierBrook	NorthAm	47.05674	-55.22287	May 2021 5700 Recluster
BSA	PLB18BSA134139_B09	BigSalmonierBrook	NorthAm	47.05674	-55.22287	May 2021 5700 Recluster
BSA	PLB18BSA134140_C09	BigSalmonierBrook	NorthAm	47.05674	-55.22287	May 2021 5700 Recluster
BSA	PLB18BSA134142_E09	BigSalmonierBrook	NorthAm	47.05674	-55.22287	May 2021 5700 Recluster
BSA	PLB18BSA134148_F09	BigSalmonierBrook	NorthAm	47.05674	-55.22287	May 2021 5700 Recluster
BSA	PLB18BSA134151_G09	BigSalmonierBrook	NorthAm	47.05674	-55.22287	May 2021 5700 Recluster
BSA	PLB18BSA134153_H09	BigSalmonierBrook	NorthAm	47.05674	-55.22287	May 2021 5700 Recluster
BSA	PLB18BSA134156_A10	BigSalmonierBrook	NorthAm	47.05674	-55.22287	May 2021 5700 Recluster
BSA	PLB18BSA134157_B10	BigSalmonierBrook	NorthAm	47.05674	-55.22287	May 2021 5700 Recluster
BSA	PLB18BSA134158_C10	BigSalmonierBrook	NorthAm	47.05674	-55.22287	May 2021 5700 Recluster
BSA	PLB18BSA134162_F10	BigSalmonierBrook	NorthAm	47.05674	-55.22287	May 2021 5700 Recluster
BSA	PLB18BSA134164_G10	BigSalmonierBrook	NorthAm	47.05674	-55.22287	May 2021 5700 Recluster
BSA	PLB18BSA134165_H10	BigSalmonierBrook	NorthAm	47.05674	-55.22287	May 2021 5700 Recluster
BSA	PLB18BSA134166_A11	BigSalmonierBrook	NorthAm	47.05674	-55.22287	May 2021 5700 Recluster
BSA	PLB18BSA134169_B11	BigSalmonierBrook	NorthAm	47.05674	-55.22287	May 2021 5700 Recluster
BSA	PLB18BSA134172_C11	BigSalmonierBrook	NorthAm	47.05674	-55.22287	May 2021 5700 Recluster
CBC	PLB18CBC133767_E12	ComeByChanceRiver	NorthAm	47.96587	-53.9592	May 2021 5700 Recluster
CBC	PLB18CBC133774_F12	ComeByChanceRiver	NorthAm	47.96587	-53.9592	May 2021 5700 Recluster
CBC	PLB18CBC133776_G12	ComeByChanceRiver	NorthAm	47.96587	-53.9592	May 2021 5700 Recluster
CBC	PLB18CBC133790_B01	ComeByChanceRiver	NorthAm	47.96587	-53.9592	May 2021 5700 Recluster
CBC	PLB18CBC133792_C01	ComeByChanceRiver	NorthAm	47.96587	-53.9592	May 2021 5700 Recluster
CBC	PLB18CBC133793_D01	ComeByChanceRiver	NorthAm	47.96587	-53.9592	May 2021 5700 Recluster
CBC	PLB18CBC133794_E01	ComeByChanceRiver	NorthAm	47.96587	-53.9592	May 2021 5700 Recluster
CBC	PLB18CBC133795_F01	ComeByChanceRiver	NorthAm	47.96587	-53.9592	May 2021 5700 Recluster
CBC	PLB18CBC133798_H01	ComeByChanceRiver	NorthAm	47.96587	-53.9592	May 2021 5700 Recluster
CBC	PLB18CBC133811_A02	ComeByChanceRiver	NorthAm	47.96587	-53.9592	May 2021 5700 Recluster
CBC	PLB18CBC133819_D02	ComeByChanceRiver	NorthAm	47.96587	-53.9592	May 2021 5700 Recluster
CBC	PLB18CBC133822_G02	ComeByChanceRiver	NorthAm	47.96587	-53.9592	May 2021 5700 Recluster
CBC	PLB18CBC133824_A03	ComeByChanceRiver	NorthAm	47.96587	-53.9592	May 2021 5700 Recluster
CBC	PLB18CBC133825_B03	ComeByChanceRiver	NorthAm	47.96587	-53.9592	May 2021 5700 Recluster
CBC	PLB18CBC133831_D03	ComeByChanceRiver	NorthAm	47.96587	-53.9592	May 2021 5700 Recluster
CBC	PLB18CBC133834_E03	ComeByChanceRiver	NorthAm	47.96587	-53.9592	May 2021 5700 Recluster
CBC	PLB18CBC133836_F03	ComeByChanceRiver	NorthAm	47.96587	-53.9592	May 2021 5700 Recluster
CBC	PLB18CBC133839_H03	ComeByChanceRiver	NorthAm	47.96587	-53.9592	May 2021 5700 Recluster
CBC	PLB18CBC133841_B04	ComeByChanceRiver	NorthAm	47.96587	-53.9592	May 2021 5700 Recluster
CBC	PLB18CBC139656_B06	ComeByChanceRiver	NorthAm	47.96587	-53.9592	May 2021 5700 Recluster
CBC	PLB18CBC139657_C06	ComeByChanceRiver	NorthAm	47.96587	-53.9592	May 2021 5700 Recluster
CBC	PLB18CBC139658_D06	ComeByChanceRiver	NorthAm	47.96587	-53.9592	May 2021 5700 Recluster
CBC	PLB18CBC139659_E06	ComeByChanceRiver	NorthAm	47.96587	-53.9592	May 2021 5700 Recluster
CBC	PLB18CBC139663_A07	ComeByChanceRiver	NorthAm	47.96587	-53.9592	May 2021 5700 Recluster
CBC	PLB18CBC139665_C07	ComeByChanceRiver	NorthAm	47.96587	-53.9592	May 2021 5700 Recluster
CRB	PLB18CRB133617_G12	CapeRogerBrook	NorthAm	47.44053	-54.6931	May 2021 5700 Recluster
CRB	PLB18CRB133618_H12	CapeRogerBrook	NorthAm	47.44053	-54.6931	May 2021 5700 Recluster
CRB	PLB18CRB133619_A01	CapeRogerBrook	NorthAm	47.44053	-54.6931	May 2021 5700 Recluster
CRB	PLB18CRB133620_B01	CapeRogerBrook	NorthAm	47.44053	-54.6931	May 2021 5700 Recluster
CRB	PLB18CRB133622_C01	CapeRogerBrook	NorthAm	47.44053	-54.6931	May 2021 5700 Recluster
CRB	PLB18CRB133623_D01	CapeRogerBrook	NorthAm	47.44053	-54.6931	May 2021 5700 Recluster
CRB	PLB18CRB133625_E01	CapeRogerBrook	NorthAm	47.44053	-54.6931	May 2021 5700 Recluster
CRB	PLB18CRB133626_F01	CapeRogerBrook	NorthAm	47.44053	-54.6931	May 2021 5700 Recluster
CRB	PLB18CRB133627_G01	CapeRogerBrook	NorthAm	47.44053	-54.6931	May 2021 5700 Recluster
CRB	PLB18CRB133630_A02	CapeRogerBrook	NorthAm	47.44053	-54.6931	May 2021 5700 Recluster
CRB	PLB18CRB133632_B02	CapeRogerBrook	NorthAm	47.44053	-54.6931	May 2021 5700 Recluster
CRB	PLB18CRB133634_D02	CapeRogerBrook	NorthAm	47.44053	-54.6931	May 2021 5700 Recluster
CRB	PLB18CRB133636_E02	CapeRogerBrook	NorthAm	47.44053	-54.6931	May 2021 5700 Recluster
CRB	PLB18CRB133637_F02	CapeRogerBrook	NorthAm	47.44053	-54.6931	May 2021 5700 Recluster
CRB	PLB18CRB133639_G02	CapeRogerBrook	NorthAm	47.44053	-54.6931	May 2021 5700 Recluster
CRB	PLB18CRB133640_H02	CapeRogerBrook	NorthAm	47.44053	-54.6931	May 2021 5700 Recluster
CRB	PLB18CRB133641_A03	CapeRogerBrook	NorthAm	47.44053	-54.6931	May 2021 5700 Recluster
CRB	PLB18CRB133642_B03	CapeRogerBrook	NorthAm	47.44053	-54.6931	May 2021 5700 Recluster
CRB	PLB18CRB133644_C03	CapeRogerBrook	NorthAm	47.44053	-54.6931	May 2021 5700 Recluster
CRB	PLB18CRB133645_D03	CapeRogerBrook	NorthAm	47.44053	-54.6931	May 2021 5700 Recluster
CRB	PLB18CRB133647_F03	CapeRogerBrook	NorthAm	47.44053	-54.6931	May 2021 5700 Recluster
CRB	PLB18CRB133648_G03	CapeRogerBrook	NorthAm	47.44053	-54.6931	May 2021 5700 Recluster
