"Comp.1" "Comp.2" "Comp.3" "Comp.4" "Comp.5"
"Bio1.scale" 0.169725095866851 0.279777857922843 0.137472764758713 0.125529168930619 0.0719682047378682
"Bio2.scale" -0.143883114891821 0.218607137120905 0.271634638606871 -0.436883945960342 -0.180567205250569
"Bio3.scale" 0.174309333440606 0.180925665093901 0.365023990917114 -0.172470735472963 -0.109571826177607
"Bio4.scale" -0.254631295204301 0.0308999653802573 -0.0501402202823924 -0.216897363873078 -0.104666210816302
"Bio5.scale" -0.0553619506537062 0.347899495995327 0.209361964561861 -0.151401076463923 0.00222553049693777
"Bio6.scale" 0.246569171939188 0.10380856481088 0.0807268145399659 0.22549480328536 0.109035514961439
"Bio7.scale" -0.250008886709122 0.0620659755289676 0.0223349414734767 -0.278101188906814 -0.0983957463589799
"Bio8.scale" -0.166691049153654 0.0371953153770432 0.308550045060635 0.246203269392122 -0.530352702670292
"Bio9.scale" 0.203245212095534 0.219329650612792 0.0718828913635081 -0.0943990182620804 0.254563641903479
"Bio10.scale" 0.0070871855841185 0.369975806532042 0.124343179259946 0.00118840659111599 -0.0120170173671083
"Bio11.scale" 0.235119970433189 0.151751688720617 0.111342894565305 0.187192467939123 0.100851315893503
"Bio12.scale" 0.256641613728628 0.0413684349587533 -0.16661817732656 -0.136111595752587 -0.114277387330323
"Bio13.scale" 0.232600735636144 0.0958570826365498 -0.237410359389117 -0.268362366532897 0.00808929131928265
"Bio14.scale" 0.256576049883746 -0.00467678618424405 -0.136800448852653 -0.0826548250637041 -0.212348275401592
"Bio15.scale" -0.19087224273573 0.0936126260905225 -0.0880070918425359 -0.269521846217069 0.409520910148179
"Bio16.scale" 0.244841425768632 0.069390641308876 -0.217898509074991 -0.192684398726919 -0.0575119923612239
"Bio17.scale" 0.258123807267009 0.0319378130638334 -0.132750342295384 -0.0990470965051744 -0.170659992252856
"Bio18.scale" 0.217783023429736 -0.0978897746919802 -0.144480267780752 -0.0362005314913123 -0.513306539211803
"Bio19.scale" 0.255782046122627 0.0537641493230086 -0.0991448212434475 -0.191874105188451 0.0317065924490132
"MS_sst05_5m.scale" 0.0258193899521073 0.303160237714339 0.0531008340494824 0.0819734933578795 -0.0365626774046192
"MS_sst06_5m.scale" -0.0234791731802053 0.325709828856805 -0.113313242664216 0.0108342100032139 -0.0585936662484382
"MS_sst07_5m.scale" 0.0377859232260063 0.285027368927331 -0.0632009377230181 0.415498671287494 0.0339338511552333
"MS_sss05_5m.scale" 0.166813324010638 -0.247798569495673 0.280737600739207 -0.0487718036062062 0.129473718038785
"MS_sss06_5m.scale" 0.19930379886138 -0.205115241784757 0.237789447495861 -0.0497121290380876 0.110466279736185
"MS_sss07_5m.scale" 0.227097142778546 -0.152303372648926 0.215278315555111 -0.0388444623225835 0.0559088164477533
"BO_ph.scale" 0.145086828695606 -0.226461274023354 0.429807831994022 -0.141374396953398 0.0207055333233673
